loan_id,age,annual_income,loan_amount,loan_term_months,loan_purpose,credit_score,employment_years,debt_to_income_ratio,num_open_accounts,delinquencies_2yr,risk_rating,probability_of_default,loss_given_default,expected_loss,var_95,var_99,defaulted
LN00000,22,44029.73,100235.53,12,Business,763,17.3,2.277,4,0,A,0.0212,0.45,954.32,8018.84,15035.33,0
LN00001,56,65035.56,95188.01,24,Business,638,4.0,1.464,8,1,BB,0.1057,0.45,4529.64,7615.04,14278.2,0
LN00002,61,103824.74,54450.52,36,Home,640,5.3,0.524,7,0,BBB,0.0753,0.45,1843.89,4356.04,8167.58,0
LN00003,30,95791.86,258717.39,60,Business,753,6.4,2.701,3,0,BBB,0.0544,0.45,6329.39,20697.39,38807.61,0
LN00004,61,32254.55,60629.14,36,Education,779,5.5,1.88,3,2,BBB,0.1072,0.45,2925.87,4850.33,9094.37,0
LN00005,39,59209.84,89373.25,72,Personal,765,10.1,1.509,2,0,AA,0.0211,0.45,849.9,7149.86,13405.99,0
LN00006,25,53409.8,49748.71,72,Education,743,1.1,0.931,8,0,AA,0.0245,0.45,548.04,3979.9,7462.31,0
LN00007,26,68496.63,89009.1,12,Personal,651,2.0,1.299,10,0,BBB,0.079,0.45,3165.76,7120.73,13351.36,0
LN00008,73,195428.6,113351.83,24,Auto,633,1.7,0.58,11,2,BB,0.1578,0.45,8050.69,9068.15,17002.77,0
LN00009,22,35949.92,92431.39,72,Auto,810,2.0,2.571,9,0,BBB,0.0545,0.45,2266.2,7394.51,13864.71,0
LN00010,44,58648.63,161438.81,60,Business,720,2.1,2.753,9,0,BBB,0.0531,0.45,3859.5,12915.1,24215.82,0
LN00011,56,51652.43,70371.89,72,Home,705,9.6,1.362,7,0,A,0.0294,0.45,930.05,5629.75,10555.78,0
LN00012,70,53082.88,22840.85,24,Debt Consolidation,666,42.4,0.43,5,0,BBB,0.0443,0.45,455.4,1827.27,3426.13,1
LN00013,22,104575.54,44561.55,12,Education,632,0.4,0.426,10,0,BB,0.1134,0.45,2273.63,3564.92,6684.23,0
LN00014,69,91433.64,245484.1,48,Business,625,3.8,2.685,3,0,BB,0.101,0.45,11157.6,19638.73,36822.62,0
LN00015,50,104719.93,256649.35,24,Business,710,9.8,2.451,10,0,A,0.0276,0.45,3184.7,20531.95,38497.4,0
LN00016,59,77154.67,164062.45,60,Personal,850,4.2,2.126,5,0,A,0.0261,0.45,1924.1,13125.0,24609.37,0
LN00017,64,68220.78,160606.91,36,Education,748,10.9,2.354,5,0,A,0.03,0.45,2165.09,12848.55,24091.04,0
LN00018,73,72630.89,135661.55,60,Business,791,15.8,1.868,2,0,AA,0.0231,0.45,1411.49,10852.92,20349.23,0
LN00019,44,94176.93,59102.2,24,Personal,827,10.3,0.628,8,0,AAA,0.0248,0.45,660.22,4728.18,8865.33,0
LN00020,23,17437.39,8979.22,24,Education,627,0.3,0.515,6,2,BB,0.199,0.45,803.93,718.34,1346.88,0
LN00021,21,205803.59,262242.79,12,Auto,681,18.7,1.274,6,0,A,0.0488,0.45,5763.58,20979.42,39336.42,0
LN00022,33,56480.26,116878.27,60,Auto,613,6.9,2.069,5,0,BB,0.1267,0.45,6665.0,9350.26,17531.74,0
LN00023,61,82512.26,45004.69,72,Education,830,4.5,0.545,6,0,AAA,0.0225,0.45,455.98,3600.38,6750.7,0
LN00024,29,60765.83,40470.26,24,Auto,590,6.4,0.666,11,0,B,0.1285,0.45,2340.43,3237.62,6070.54,0
LN00025,41,52955.26,51154.42,48,Business,673,0.2,0.966,3,0,BBB,0.0817,0.45,1879.92,4092.35,7673.16,0
LN00026,60,64494.23,95382.23,48,Debt Consolidation,604,3.4,1.479,10,0,BB,0.1213,0.45,5205.92,7630.58,14307.33,0
LN00027,36,58382.92,156167.19,60,Home,705,0.3,2.675,11,0,BBB,0.0929,0.45,6531.02,12493.38,23425.08,0
LN00028,68,56930.6,125146.15,48,Education,733,4.5,2.198,6,0,A,0.0271,0.45,1527.31,10011.69,18771.92,0
LN00029,48,48465.59,84352.16,72,Home,699,4.9,1.74,11,0,A,0.0474,0.45,1799.71,6748.17,12652.82,0
LN00030,58,92049.85,91275.65,72,Auto,705,9.9,0.992,5,1,A,0.0597,0.45,2454.08,7302.05,13691.35,0
LN00031,67,34537.7,79565.07,12,Auto,687,0.9,2.304,9,0,A,0.085,0.45,3044.29,6365.21,11934.76,0
LN00032,57,109432.25,110723.0,72,Debt Consolidation,657,3.8,1.012,9,0,BBB,0.0792,0.45,3944.7,8857.84,16608.45,0
LN00033,65,92480.89,185678.77,12,Home,736,1.6,2.008,6,0,A,0.0237,0.45,1977.77,14854.3,27851.82,0
LN00034,38,77908.66,103587.93,48,Business,710,0.5,1.33,8,0,A,0.06,0.45,2798.73,8287.03,15538.19,0
LN00035,30,63481.41,150506.45,12,Education,760,2.3,2.371,9,0,A,0.0264,0.45,1789.93,12040.52,22575.97,0
LN00036,53,171823.21,200365.22,72,Business,827,5.1,1.166,10,0,AAA,0.0275,0.45,2483.05,16029.22,30054.78,0
LN00037,42,24614.33,68558.17,24,Auto,597,7.6,2.785,5,0,B,0.1559,0.45,4808.52,5484.65,10283.73,0
LN00038,68,86035.65,158041.11,36,Home,713,19.7,1.837,2,0,A,0.0286,0.45,2034.72,12643.29,23706.17,0
LN00039,62,92424.76,56365.57,12,Debt Consolidation,581,4.6,0.61,6,1,B,0.1503,0.45,3811.02,4509.25,8454.84,1
LN00040,56,49024.16,63703.91,12,Business,655,10.8,1.299,11,1,BBB,0.101,0.45,2894.39,5096.31,9555.59,0
